0 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=00000000
80 INFO: bfm_stb=1, bfm_sel=10, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=01110001
90 INFO: bfm_stb=0, bfm_sel=10, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=00001101
100 INFO: bfm_stb=0, bfm_sel=10, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=10001101
140 INFO: bfm_stb=1, bfm_sel=10, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=00100011
150 INFO: bfm_stb=0, bfm_sel=10, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=01110110
160 INFO: bfm_stb=0, bfm_sel=10, bfm_data_in_0=00000000, bfm_data_in_1=00000000, bfm_data_in_2=00111101
200 INFO: bfm_stb=1, bfm_sel=00, bfm_data_in_0=00100010, bfm_data_in_1=00000000, bfm_data_in_2=00111101
210 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=11000101, bfm_data_in_1=00000000, bfm_data_in_2=00111101
220 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=10101010, bfm_data_in_1=00000000, bfm_data_in_2=00111101
260 INFO: bfm_stb=1, bfm_sel=00, bfm_data_in_0=01011011, bfm_data_in_1=00000000, bfm_data_in_2=00111101
270 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=11110010, bfm_data_in_1=00000000, bfm_data_in_2=00111101
310 INFO: bfm_stb=1, bfm_sel=00, bfm_data_in_0=10000000, bfm_data_in_1=00000000, bfm_data_in_2=00111101
320 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=10111101, bfm_data_in_1=00000000, bfm_data_in_2=00111101
360 INFO: bfm_stb=1, bfm_sel=01, bfm_data_in_0=10111101, bfm_data_in_1=10010000, bfm_data_in_2=00111101
370 INFO: bfm_stb=0, bfm_sel=01, bfm_data_in_0=10111101, bfm_data_in_1=10000000, bfm_data_in_2=00111101
380 INFO: bfm_stb=0, bfm_sel=01, bfm_data_in_0=10111101, bfm_data_in_1=00100000, bfm_data_in_2=00111101
390 INFO: bfm_stb=0, bfm_sel=01, bfm_data_in_0=10111101, bfm_data_in_1=10101010, bfm_data_in_2=00111101
430 INFO: bfm_stb=1, bfm_sel=00, bfm_data_in_0=00100111, bfm_data_in_1=10101010, bfm_data_in_2=00111101
440 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=01010011, bfm_data_in_1=10101010, bfm_data_in_2=00111101
450 INFO: bfm_stb=0, bfm_sel=00, bfm_data_in_0=01101011, bfm_data_in_1=10101010, bfm_data_in_2=00111101
490 INFO: bfm_stb=1, bfm_sel=01, bfm_data_in_0=01101011, bfm_data_in_1=10000001, bfm_data_in_2=00111101
500 INFO: bfm_stb=0, bfm_sel=01, bfm_data_in_0=01101011, bfm_data_in_1=11001111, bfm_data_in_2=00111101
540 INFO: bfm_stb=1, bfm_sel=10, bfm_data_in_0=01101011, bfm_data_in_1=11001111, bfm_data_in_2=00000010
550 INFO: bfm_stb=0, bfm_sel=10, bfm_data_in_0=01101011, bfm_data_in_1=11001111, bfm_data_in_2=11110010
560 INFO: bfm_stb=0, bfm_sel=10, bfm_data_in_0=01101011, bfm_data_in_1=11001111, bfm_data_in_2=10001010
600 INFO: bfm_stb=1, bfm_sel=01, bfm_data_in_0=01101011, bfm_data_in_1=01000101, bfm_data_in_2=10001010
610 INFO: bfm_stb=0, bfm_sel=01, bfm_data_in_0=01101011, bfm_data_in_1=11101011, bfm_data_in_2=10001010
620 INFO: bfm_stb=0, bfm_sel=01, bfm_data_in_0=01101011, bfm_data_in_1=10110110, bfm_data_in_2=10001010
